episode,timestep,reward
74,2000,26.9865
149,4000,26.6667
213,6000,31.0312
273,8000,32.9167
311,10000,51.0
343,12000,65.5938
362,14000,103.1579
383,16000,97.0
397,18000,128.6429
412,20000,145.5333
421,22000,222.1111
432,24000,168.9091
442,26000,209.1
452,28000,206.5
459,30000,246.4286
468,32000,253.3333
474,34000,302.6667
479,36000,425.8
485,38000,273.3333
493,40000,293.0
500,42000,294.7143
506,44000,310.3333
511,46000,366.2
516,48000,428.8
521,50000,408.4
529,52000,245.0
534,54000,429.8
538,56000,458.0
543,58000,419.4
547,60000,430.0
552,62000,384.8
557,64000,467.4
561,66000,500.0
565,68000,500.0
569,70000,500.0
573,72000,500.0
577,74000,423.75
581,76000,500.0
585,78000,500.0
591,80000,395.5
595,82000,500.0
599,84000,500.0
603,86000,422.5
607,88000,482.75
611,90000,491.75
615,92000,500.0
619,94000,500.0
623,96000,500.0
630,98000,348.7143
636,100000,291.3333
643,102000,304.0
649,104000,356.0
654,106000,400.8
658,108000,471.5
662,110000,500.0
666,112000,500.0
670,114000,464.5
674,116000,500.0
678,118000,500.0
682,120000,500.0
687,122000,438.2
691,124000,500.0
695,126000,500.0
699,128000,482.25
703,130000,500.0
707,132000,500.0
711,134000,500.0
715,136000,500.0
719,138000,500.0
723,140000,500.0
727,142000,500.0
731,144000,500.0
735,146000,500.0
739,148000,500.0
743,150000,500.0
747,152000,497.5
751,154000,500.0
755,156000,500.0
759,158000,500.0
763,160000,500.0
767,162000,500.0
771,164000,500.0
775,166000,500.0
779,168000,500.0
783,170000,500.0
787,172000,500.0
791,174000,500.0
795,176000,500.0
799,178000,500.0
803,180000,500.0
807,182000,470.25
811,184000,500.0
815,186000,500.0
819,188000,500.0
823,190000,500.0
827,192000,500.0
831,194000,500.0
835,196000,500.0
839,198000,500.0
843,200000,500.0
