episode,timestep,reward
33,800,23.8182
63,1600,26.3333
84,2400,39.0476
104,3200,39.3
115,4000,71.7273
124,4800,91.6667
129,5600,143.4
136,6400,124.7143
140,7200,161.75
145,8000,186.2
150,8800,159.0
154,9600,194.0
158,10400,214.25
161,11200,253.6667
164,12000,258.0
168,12800,201.25
171,13600,275.3333
174,14400,240.0
177,15200,261.6667
180,16000,294.3333
182,16800,324.5
184,17600,336.5
186,18400,384.0
189,19200,349.0
191,20000,370.0
193,20800,384.5
195,21600,378.5
198,22400,282.0
200,23200,379.5
202,24000,363.5
205,24800,351.6667
207,25600,342.0
209,26400,316.0
212,27200,335.3333
214,28000,321.0
216,28800,400.0
218,29600,370.5
220,30400,400.0
222,31200,400.0
224,32000,400.0
226,32800,400.0
228,33600,400.0
230,34400,400.0
232,35200,400.0
235,36000,354.3333
237,36800,400.0
239,37600,400.0
241,38400,400.0
243,39200,400.0
245,40000,361.0
247,40800,400.0
249,41600,400.0
251,42400,400.0
253,43200,393.5
255,44000,400.0
257,44800,400.0
259,45600,357.0
261,46400,384.5
263,47200,400.0
265,48000,400.0
267,48800,400.0
269,49600,400.0
271,50400,400.0
274,51200,360.0
276,52000,400.0
278,52800,301.5
280,53600,400.0
282,54400,400.0
284,55200,400.0
287,56000,334.3333
289,56800,400.0
291,57600,400.0
293,58400,400.0
295,59200,400.0
297,60000,400.0
299,60800,400.0
301,61600,400.0
303,62400,400.0
305,63200,400.0
307,64000,400.0
309,64800,400.0
311,65600,400.0
313,66400,400.0
315,67200,338.0
317,68000,400.0
319,68800,400.0
321,69600,400.0
323,70400,400.0
325,71200,400.0
327,72000,400.0
329,72800,400.0
331,73600,388.5
333,74400,400.0
335,75200,400.0
337,76000,400.0
339,76800,400.0
341,77600,400.0
343,78400,400.0
345,79200,400.0
347,80000,400.0
349,80800,400.0
351,81600,400.0
353,82400,333.5
355,83200,400.0
359,84000,267.5
361,84800,307.0
363,85600,331.5
365,86400,400.0
367,87200,400.0
369,88000,400.0
372,88800,371.6667
374,89600,400.0
376,90400,400.0
378,91200,400.0
380,92000,400.0
382,92800,400.0
384,93600,400.0
386,94400,400.0
388,95200,400.0
390,96000,400.0
392,96800,306.5
395,97600,336.0
397,98400,400.0
399,99200,400.0
401,100000,400.0
403,100800,400.0
405,101600,400.0
407,102400,400.0
409,103200,381.5
411,104000,349.0
414,104800,253.3333
416,105600,320.5
419,106400,326.0
421,107200,301.5
423,108000,400.0
426,108800,385.0
428,109600,350.0
430,110400,400.0
433,111200,261.3333
435,112000,400.0
437,112800,400.0
439,113600,400.0
441,114400,400.0
443,115200,400.0
445,116000,344.0
447,116800,400.0
449,117600,370.5
451,118400,400.0
453,119200,400.0
456,120000,338.3333
458,120800,400.0
460,121600,400.0
462,122400,400.0
464,123200,400.0
466,124000,378.5
468,124800,400.0
470,125600,400.0
472,126400,400.0
474,127200,400.0
476,128000,400.0
478,128800,400.0
480,129600,400.0
482,130400,400.0
484,131200,330.0
487,132000,342.6667
489,132800,362.0
491,133600,312.5
493,134400,400.0
495,135200,400.0
497,136000,400.0
499,136800,400.0
501,137600,400.0
503,138400,384.0
505,139200,395.5
508,140000,362.6667
510,140800,267.5
514,141600,275.25
516,142400,371.5
518,143200,400.0
520,144000,302.5
522,144800,400.0
524,145600,400.0
526,146400,389.5
528,147200,400.0
530,148000,400.0
532,148800,400.0
534,149600,364.5
536,150400,400.0
538,151200,400.0
540,152000,400.0
542,152800,400.0
544,153600,400.0
546,154400,400.0
548,155200,381.5
550,156000,400.0
552,156800,400.0
554,157600,400.0
556,158400,400.0
558,159200,400.0
561,160000,367.3333
564,160800,294.3333
567,161600,204.6667
570,162400,286.0
572,163200,400.0
574,164000,400.0
576,164800,400.0
578,165600,400.0
580,166400,400.0
582,167200,400.0
584,168000,400.0
587,168800,291.6667
589,169600,400.0
591,170400,400.0
593,171200,400.0
595,172000,400.0
597,172800,400.0
599,173600,322.0
601,174400,400.0
604,175200,271.0
606,176000,381.5
608,176800,400.0
610,177600,400.0
612,178400,400.0
614,179200,400.0
617,180000,263.6667
619,180800,400.0
621,181600,400.0
623,182400,375.0
625,183200,400.0
627,184000,400.0
629,184800,400.0
631,185600,400.0
633,186400,400.0
635,187200,400.0
637,188000,400.0
639,188800,400.0
641,189600,400.0
643,190400,400.0
645,191200,400.0
647,192000,400.0
649,192800,400.0
651,193600,400.0
653,194400,400.0
655,195200,400.0
657,196000,400.0
659,196800,400.0
661,197600,400.0
663,198400,400.0
665,199200,400.0
667,200000,400.0
