episode,timestep,reward
39,800,20.0513
75,1600,22.5278
115,2400,19.15
146,3200,26.7742
173,4000,29.7037
201,4800,27.5357
212,5600,74.5455
230,6400,43.4444
243,7200,60.8462
255,8000,70.1667
267,8800,65.4167
277,9600,78.1
283,10400,122.0
290,11200,114.0
300,12000,77.6
310,12800,91.0
315,13600,153.2
322,14400,112.5714
329,15200,114.0
337,16000,94.625
343,16800,142.6667
349,17600,142.0
353,18400,187.5
357,19200,182.75
361,20000,144.75
365,20800,226.25
369,21600,209.25
374,22400,195.6
376,23200,258.0
380,24000,231.75
382,24800,361.5
385,25600,339.3333
387,26400,363.5
390,27200,251.6667
392,28000,338.5
396,28800,263.0
398,29600,321.0
401,30400,305.0
403,31200,348.0
405,32000,396.0
408,32800,276.0
410,33600,400.0
412,34400,400.0
414,35200,361.0
416,36000,400.0
418,36800,400.0
420,37600,400.0
422,38400,400.0
424,39200,400.0
426,40000,400.0
429,40800,291.0
432,41600,245.0
434,42400,400.0
438,43200,234.75
440,44000,309.5
443,44800,321.0
445,45600,400.0
447,46400,400.0
449,47200,304.5
451,48000,370.5
453,48800,400.0
455,49600,400.0
457,50400,400.0
459,51200,400.0
461,52000,400.0
463,52800,400.0
465,53600,400.0
467,54400,400.0
469,55200,400.0
471,56000,400.0
473,56800,400.0
475,57600,400.0
477,58400,400.0
479,59200,400.0
481,60000,400.0
483,60800,400.0
485,61600,400.0
487,62400,400.0
490,63200,375.3333
492,64000,391.0
494,64800,400.0
496,65600,400.0
498,66400,322.5
500,67200,400.0
502,68000,400.0
504,68800,400.0
506,69600,360.5
508,70400,400.0
510,71200,400.0
513,72000,351.3333
515,72800,400.0
518,73600,233.3333
520,74400,400.0
522,75200,400.0
524,76000,320.5
526,76800,400.0
528,77600,400.0
530,78400,400.0
532,79200,400.0
534,80000,400.0
536,80800,400.0
538,81600,400.0
540,82400,400.0
542,83200,400.0
544,84000,400.0
546,84800,383.5
548,85600,400.0
550,86400,400.0
552,87200,400.0
554,88000,400.0
557,88800,348.6667
559,89600,400.0
561,90400,400.0
563,91200,400.0
565,92000,280.0
568,92800,355.0
570,93600,400.0
573,94400,267.3333
575,95200,343.0
578,96000,259.0
580,96800,400.0
583,97600,309.0
585,98400,400.0
587,99200,400.0
589,100000,400.0
591,100800,400.0
593,101600,400.0
595,102400,400.0
597,103200,400.0
599,104000,400.0
601,104800,400.0
603,105600,313.0
605,106400,362.5
607,107200,400.0
609,108000,400.0
611,108800,400.0
613,109600,400.0
615,110400,400.0
617,111200,400.0
619,112000,400.0
621,112800,400.0
623,113600,400.0
626,114400,349.6667
628,115200,400.0
630,116000,376.0
632,116800,400.0
634,117600,359.5
636,118400,400.0
638,119200,400.0
640,120000,400.0
642,120800,400.0
644,121600,355.5
647,122400,294.3333
649,123200,400.0
652,124000,305.0
654,124800,371.5
656,125600,374.5
658,126400,322.0
660,127200,400.0
662,128000,400.0
664,128800,400.0
667,129600,365.0
669,130400,400.0
671,131200,400.0
673,132000,400.0
675,132800,250.5
677,133600,400.0
679,134400,400.0
681,135200,400.0
683,136000,400.0
685,136800,400.0
688,137600,370.3333
690,138400,315.0
692,139200,400.0
694,140000,400.0
696,140800,400.0
698,141600,359.5
700,142400,360.5
703,143200,377.0
705,144000,400.0
707,144800,400.0
709,145600,400.0
711,146400,283.5
713,147200,355.5
715,148000,398.0
718,148800,348.6667
720,149600,394.5
722,150400,400.0
724,151200,400.0
726,152000,400.0
728,152800,382.5
730,153600,306.5
732,154400,400.0
734,155200,394.0
736,156000,386.5
739,156800,268.6667
742,157600,388.0
744,158400,346.0
748,159200,221.5
750,160000,320.5
752,160800,400.0
754,161600,400.0
756,162400,400.0
758,163200,400.0
760,164000,400.0
762,164800,400.0
764,165600,400.0
766,166400,400.0
768,167200,400.0
770,168000,400.0
772,168800,400.0
774,169600,400.0
776,170400,400.0
778,171200,400.0
780,172000,400.0
782,172800,400.0
784,173600,400.0
786,174400,400.0
788,175200,400.0
790,176000,400.0
792,176800,400.0
794,177600,336.0
796,178400,400.0
798,179200,400.0
800,180000,400.0
802,180800,400.0
804,181600,400.0
806,182400,400.0
809,183200,312.0
811,184000,400.0
813,184800,361.5
815,185600,400.0
817,186400,400.0
819,187200,347.0
822,188000,377.0
824,188800,400.0
826,189600,370.0
829,190400,288.3333
832,191200,269.3333
834,192000,325.0
836,192800,400.0
838,193600,400.0
840,194400,400.0
842,195200,400.0
844,196000,400.0
846,196800,400.0
848,197600,400.0
850,198400,400.0
852,199200,400.0
854,200000,400.0
