episode,timestep,reward
39,800,20.359
78,1600,20.3077
99,2400,37.1905
124,3200,33.12
141,4000,47.2353
159,4800,44.2778
172,5600,59.0
184,6400,68.75
195,7200,73.7273
205,8000,71.6
209,8800,184.75
215,9600,130.0
221,10400,138.8333
225,11200,227.0
228,12000,204.6667
233,12800,196.4
236,13600,213.6667
240,14400,223.0
243,15200,173.6667
247,16000,246.25
250,16800,282.6667
253,17600,271.3333
259,18400,137.0
263,19200,195.25
266,20000,239.0
271,20800,177.8
274,21600,227.3333
278,22400,246.0
281,23200,236.3333
283,24000,372.0
285,24800,400.0
287,25600,400.0
289,26400,400.0
291,27200,400.0
293,28000,350.5
295,28800,400.0
297,29600,400.0
299,30400,400.0
301,31200,400.0
303,32000,400.0
305,32800,400.0
307,33600,400.0
309,34400,400.0
311,35200,400.0
313,36000,400.0
315,36800,400.0
317,37600,400.0
319,38400,400.0
321,39200,397.0
323,40000,400.0
326,40800,344.3333
328,41600,400.0
331,42400,210.3333
333,43200,400.0
335,44000,400.0
337,44800,400.0
339,45600,400.0
341,46400,400.0
343,47200,400.0
345,48000,400.0
347,48800,400.0
349,49600,400.0
351,50400,400.0
353,51200,400.0
355,52000,400.0
357,52800,400.0
359,53600,400.0
361,54400,400.0
363,55200,400.0
365,56000,400.0
367,56800,400.0
369,57600,400.0
371,58400,400.0
373,59200,400.0
375,60000,400.0
377,60800,400.0
379,61600,400.0
381,62400,400.0
383,63200,400.0
385,64000,400.0
387,64800,400.0
389,65600,400.0
391,66400,400.0
393,67200,400.0
395,68000,400.0
397,68800,400.0
399,69600,400.0
401,70400,400.0
403,71200,400.0
405,72000,400.0
407,72800,400.0
409,73600,400.0
411,74400,400.0
413,75200,400.0
415,76000,400.0
417,76800,400.0
419,77600,400.0
421,78400,400.0
423,79200,400.0
425,80000,400.0
427,80800,400.0
429,81600,400.0
431,82400,400.0
433,83200,400.0
435,84000,400.0
437,84800,400.0
439,85600,400.0
441,86400,400.0
443,87200,400.0
445,88000,400.0
447,88800,400.0
449,89600,400.0
451,90400,400.0
453,91200,400.0
455,92000,400.0
457,92800,400.0
459,93600,400.0
461,94400,400.0
463,95200,400.0
465,96000,400.0
467,96800,400.0
469,97600,400.0
471,98400,400.0
473,99200,400.0
475,100000,400.0
477,100800,400.0
479,101600,400.0
481,102400,400.0
483,103200,400.0
485,104000,400.0
487,104800,400.0
489,105600,400.0
491,106400,400.0
493,107200,400.0
495,108000,400.0
497,108800,400.0
499,109600,400.0
501,110400,400.0
503,111200,400.0
505,112000,400.0
507,112800,400.0
509,113600,400.0
511,114400,400.0
513,115200,400.0
515,116000,400.0
517,116800,400.0
519,117600,400.0
521,118400,400.0
523,119200,400.0
525,120000,400.0
527,120800,400.0
529,121600,400.0
531,122400,400.0
533,123200,400.0
535,124000,400.0
537,124800,400.0
539,125600,400.0
541,126400,400.0
543,127200,400.0
545,128000,400.0
547,128800,400.0
549,129600,400.0
551,130400,400.0
553,131200,400.0
555,132000,400.0
557,132800,400.0
559,133600,400.0
561,134400,400.0
563,135200,400.0
565,136000,400.0
567,136800,400.0
569,137600,400.0
571,138400,400.0
573,139200,400.0
575,140000,400.0
577,140800,400.0
579,141600,400.0
581,142400,400.0
583,143200,400.0
585,144000,400.0
587,144800,400.0
589,145600,400.0
591,146400,400.0
593,147200,400.0
595,148000,400.0
597,148800,400.0
599,149600,400.0
601,150400,400.0
603,151200,400.0
605,152000,400.0
607,152800,400.0
609,153600,400.0
611,154400,400.0
613,155200,400.0
615,156000,400.0
617,156800,400.0
619,157600,400.0
621,158400,400.0
623,159200,400.0
625,160000,400.0
627,160800,400.0
629,161600,400.0
631,162400,400.0
633,163200,400.0
635,164000,400.0
637,164800,400.0
639,165600,400.0
641,166400,400.0
643,167200,400.0
645,168000,400.0
647,168800,400.0
649,169600,400.0
651,170400,400.0
653,171200,400.0
655,172000,400.0
657,172800,400.0
659,173600,400.0
661,174400,400.0
663,175200,400.0
665,176000,400.0
667,176800,400.0
669,177600,400.0
671,178400,400.0
673,179200,400.0
675,180000,400.0
677,180800,400.0
679,181600,400.0
681,182400,400.0
683,183200,400.0
685,184000,400.0
687,184800,400.0
689,185600,400.0
691,186400,400.0
693,187200,400.0
695,188000,400.0
697,188800,400.0
699,189600,400.0
701,190400,400.0
703,191200,400.0
705,192000,400.0
707,192800,400.0
709,193600,400.0
711,194400,400.0
713,195200,400.0
715,196000,400.0
717,196800,400.0
719,197600,400.0
721,198400,400.0
723,199200,400.0
725,200000,400.0
